#map list, add your map and info here
#the terrain texture directory must have the name specified below
#map nr,texture dir name,sesaon,9 elevation zones
1,THAILAND,1,-1000,-0.0001,250,500,750,1250,2000,2200,3000
2,CUBA,1,-1000,-0.0001,250,500,750,1000,1250,1500,2000
3,GEORGIA,1,-1000,-0.0001,250,500,750,1000,1500,3000,5000
4,TAIWAN,1,-1000,-0.0001,250,500,750,1000,1750,2600,3700
5,LEBANON,3,-1000,-0.0001,250,500,750,1000,1600,2300,3100
6,YEMEN,3,-1000,-0.0001,250,500,750,1250,2000,2500,3000
7,ALASKA,2,-1000,-0.0001,250,500,750,1000,1500,3000,5000
8,ALEUT,2,-1000,-0.0001,250,500,750,1000,1500,3000,5000
9,KUWAIT,3,-1000,-0.0001,250,500,750,1000,1250,1500,2000
10,LYBIA,3,-1000,-0.0001,250,500,750,1000,1250,1500,2000
11,GRAND,3,1100,1128,1227,1327,1527,1827,2200,2600,3298
12,MARS,3,-1000,-0.0001,250,500,750,1000,2000,2500,3000
13,ALEXANDER ARCHIPELAGO,2,-1000,-0.0001,250,500,750,1000,1500,3000,5000
15,SAUDI ARABIA RED SEA,3,-1000,-0.0001,250,500,750,1000,1250,1500,2000
17,AFOGNAK,1,-1000,-0.0001,50,150,300,400,500,750,1000
18,PUERTO RICO,1,-1000,-0.0001,50,150,300,400,500,750,1000
